Longitude,Latitude,Carbon(C),Water(W),Food(F),Social(P)
20,20,0.572426,0.858651,0.880916,0.136126
20,25,0.569423,0.898616,0.900000,0.104238
20,30,0.417711,0.634980,0.629929,0.115151
20,35,0.215970,0.250111,0.248387,0.149462
20,40,0.273597,0.122545,0.208561,0.292498
20,45,0.395199,0.116606,0.306472,0.430521
20,50,0.360553,0.112607,0.312260,0.454509
20,55,0.260677,0.117460,0.231369,0.331540
20,60,0.244241,0.124127,0.185218,0.185984
20,65,0.340856,0.147760,0.263482,0.190746
20,70,0.262160,0.153321,0.218250,0.161470
20,75,0.142191,0.173300,0.150685,0.110177
25,-30,0.310365,0.134394,0.264242,0.594327
25,-25,0.241585,0.118261,0.210171,0.675706
25,-20,0.256314,0.114001,0.203314,0.555321
25,-15,0.436751,0.119789,0.290877,0.439638
25,-10,0.489107,0.121530,0.307752,0.369525
25,-5,0.593366,0.125965,0.347052,0.275233
25,0,0.779915,0.134068,0.431557,0.170805
25,5,0.675598,0.128272,0.379433,0.208188
25,10,0.492180,0.130132,0.331752,0.627517
25,15,0.500629,0.476133,0.597894,0.581796
25,20,0.571023,0.856471,0.878035,0.142465
25,25,0.569659,0.892516,0.897518,0.104241
25,30,0.425169,0.631320,0.635260,0.116552
25,35,0.246905,0.249527,0.270991,0.189963
25,40,0.283421,0.120073,0.225900,0.340806
25,45,0.366947,0.115386,0.308942,0.470291
25,50,0.370118,0.112671,0.319599,0.483357
25,55,0.345345,0.117006,0.277681,0.361896
25,60,0.320322,0.122599,0.231784,0.221245
25,65,0.357598,0.136617,0.259670,0.193424
25,70,0.274769,0.158640,0.225184,0.166156
25,75,0.136893,0.161877,0.138569,0.112237
30,-30,0.284713,0.122394,0.210439,0.433659
30,-25,0.352402,0.119391,0.253940,0.545866
30,-20,0.353559,0.116760,0.249374,0.492858
30,-15,0.404830,0.117702,0.277624,0.425507
30,-10,0.436962,0.119940,0.288900,0.365074
30,-5,0.445747,0.121601,0.292742,0.345399
30,0,0.522148,0.124953,0.333371,0.330770
30,5,0.485415,0.123441,0.308281,0.347335
30,10,0.391976,0.130983,0.294677,0.628244
30,15,0.472911,0.466746,0.576163,0.554663
30,20,0.562300,0.822591,0.849456,0.182789
30,25,0.555522,0.805848,0.839693,0.121418
30,30,0.389089,0.508694,0.537659,0.123517
30,35,0.249866,0.192126,0.244458,0.275528
30,40,0.261734,0.124152,0.218720,0.366378
30,45,0.268506,0.117326,0.258108,0.438132
30,50,0.345665,0.113437,0.310776,0.518861
30,55,0.459431,0.119958,0.327195,0.376097
30,60,0.441510,0.127177,0.294083,0.209773
30,65,0.379934,0.134676,0.267022,0.164469
30,70,0.262371,0.152155,0.209797,0.148037
35,-20,0.323892,0.122669,0.221130,0.305275
35,-15,0.383704,0.119662,0.265730,0.381703
35,-10,0.403207,0.117712,0.275803,0.392542
35,-5,0.328224,0.120084,0.244302,0.439432
35,0,0.311873,0.145356,0.268368,0.563314
35,5,0.370702,0.144215,0.287608,0.515092
35,10,0.358313,0.122478,0.276969,0.558630
35,15,0.412670,0.336368,0.460869,0.530818
35,20,0.476799,0.563915,0.638717,0.260346
35,25,0.491091,0.610620,0.685388,0.138461
35,30,0.450391,0.544420,0.612340,0.152802
35,35,0.365939,0.308550,0.408201,0.386351
35,40,0.299358,0.147640,0.250910,0.406790
35,45,0.242012,0.119762,0.228713,0.385394
35,50,0.316783,0.113478,0.303864,0.569637
35,55,0.485939,0.121053,0.345021,0.457111
35,60,0.500533,0.133694,0.326945,0.225569
35,65,0.366385,0.140446,0.268322,0.155079
40,-20,0.200243,0.129788,0.154112,0.210370
40,-15,0.263948,0.125407,0.191451,0.245143
40,-10,0.270977,0.123315,0.194205,0.253157
40,-5,0.232134,0.125617,0.176342,0.300847
40,0,0.257527,0.146133,0.221193,0.537776
40,5,0.343676,0.142475,0.271956,0.651020
40,10,0.387290,0.187481,0.333692,0.573147
40,15,0.395345,0.301811,0.425133,0.461143
40,20,0.438823,0.433527,0.541815,0.279906
40,25,0.505053,0.624623,0.707656,0.156610
40,30,0.529391,0.722816,0.781842,0.167966
40,35,0.457239,0.470153,0.581386,0.428235
40,40,0.358720,0.174584,0.316244,0.500581
40,45,0.299317,0.118402,0.272494,0.505430
40,50,0.310165,0.111812,0.314495,0.651190
40,55,0.461955,0.117982,0.339230,0.495453
40,60,0.532621,0.131654,0.339513,0.245010
40,65,0.360553,0.138563,0.260937,0.159381
45,-25,0.193582,0.129904,0.152893,0.259542
45,-20,0.283672,0.128401,0.209152,0.407487
45,-15,0.233305,0.127757,0.174425,0.282609
45,5,0.268682,0.144291,0.231414,0.607429
45,10,0.356153,0.248161,0.355033,0.564610
45,15,0.414100,0.463126,0.529472,0.305049
45,20,0.520925,0.690303,0.749309,0.201645
45,25,0.548232,0.782173,0.824508,0.143203
45,30,0.478195,0.659266,0.713479,0.266836
45,35,0.389644,0.368692,0.491168,0.530566
45,40,0.350377,0.164273,0.318315,0.564638
45,45,0.370153,0.128375,0.314724,0.673447
45,50,0.354021,0.117868,0.330785,0.745073
45,55,0.441891,0.115693,0.329863,0.472154
45,60,0.544800,0.125038,0.338406,0.237470
45,65,0.390960,0.133653,0.267397,0.159066
50,-20,0.250262,0.127527,0.186736,0.339793
50,-15,0.215527,0.127801,0.163259,0.253469
50,10,0.235215,0.191377,0.230574,0.327457
50,15,0.361147,0.490904,0.502963,0.182259
50,20,0.522617,0.810559,0.813590,0.126985
50,25,0.462712,0.676901,0.693497,0.166707
50,30,0.401777,0.466746,0.542596,0.376819
50,35,0.362582,0.332053,0.439904,0.487113
50,40,0.318651,0.279151,0.355760,0.368233
50,45,0.399080,0.270557,0.401517,0.527222
50,50,0.389861,0.164327,0.367458,0.718717
50,55,0.408887,0.115233,0.321892,0.498574
50,60,0.518276,0.122530,0.327538,0.228859
50,65,0.413205,0.130368,0.274886,0.165388
55,20,0.397725,0.587583,0.588160,0.132323
55,25,0.414233,0.542240,0.578569,0.245272
55,30,0.433937,0.507207,0.575905,0.368378
55,35,0.441532,0.506082,0.577485,0.373852
55,40,0.402955,0.499988,0.537917,0.251463
55,45,0.470311,0.464789,0.575777,0.349635
55,50,0.428759,0.213244,0.425917,0.619614
55,55,0.429388,0.116748,0.329456,0.478231
55,60,0.506518,0.126264,0.325533,0.204615
55,65,0.398391,0.129975,0.268224,0.181659
55,70,0.242386,0.133105,0.189921,0.265874
55,75,0.153379,0.132657,0.131285,0.203787
60,25,0.374944,0.468761,0.501162,0.247391
60,30,0.491443,0.608118,0.672994,0.367454
60,35,0.452492,0.528108,0.598316,0.409293
60,40,0.429266,0.520004,0.572330,0.342693
60,45,0.488732,0.477954,0.600344,0.396219
60,50,0.437079,0.225711,0.442030,0.622480
60,55,0.424112,0.119935,0.330951,0.474509
60,60,0.481879,0.132428,0.324395,0.198018
60,65,0.380617,0.131264,0.268706,0.248563
60,70,0.223058,0.126504,0.174431,0.283580
60,75,0.135730,0.127542,0.116509,0.163370
65,25,0.296948,0.290203,0.331313,0.317330
65,30,0.452360,0.428544,0.529679,0.535159
65,35,0.415758,0.357654,0.464674,0.560277
65,40,0.370075,0.320456,0.413003,0.463073
65,45,0.417038,0.303020,0.445834,0.524670
65,50,0.387745,0.191927,0.398508,0.690027
65,55,0.367396,0.124079,0.324659,0.518950
65,60,0.451943,0.146265,0.344227,0.220673
65,65,0.402278,0.144755,0.306613,0.312526
65,70,0.241412,0.130715,0.188325,0.337512
65,75,0.133437,0.127280,0.114542,0.157335
70,25,0.282940,0.149470,0.256544,0.473709
70,30,0.396346,0.181407,0.331478,0.582234
70,35,0.454383,0.192133,0.367124,0.679915
70,40,0.413255,0.172997,0.347929,0.681867
70,45,0.433809,0.172484,0.379552,0.673505
70,50,0.385040,0.152009,0.374669,0.753956
70,55,0.359028,0.127865,0.329358,0.531228
70,60,0.451061,0.161917,0.375736,0.234497
70,65,0.418677,0.160932,0.343224,0.323415
70,70,0.271849,0.133532,0.212692,0.388313
75,10,0.201825,0.125720,0.165393,0.202021
75,15,0.281762,0.121019,0.228653,0.335123
75,20,0.340196,0.118861,0.275884,0.425553
75,25,0.358172,0.116308,0.292402,0.469138
75,30,0.425918,0.135094,0.316827,0.493034
75,35,0.498554,0.224356,0.403587,0.622380
75,40,0.464757,0.233849,0.412952,0.735980
75,45,0.452540,0.172963,0.381648,0.793893
75,50,0.390869,0.143543,0.358473,0.830022
75,55,0.383428,0.133169,0.336750,0.533924
75,60,0.457730,0.169344,0.384180,0.219973
75,65,0.430158,0.164499,0.361546,0.354292
75,70,0.302049,0.132918,0.237176,0.454336
80,10,0.224308,0.125939,0.179383,0.212017
80,15,0.306781,0.121093,0.241474,0.334901
80,20,0.403651,0.117966,0.301638,0.392808
80,25,0.463347,0.123413,0.335567,0.389836
80,30,0.490802,0.169252,0.373923,0.586585
80,35,0.512333,0.387140,0.529722,0.611578
80,40,0.496069,0.421177,0.546554,0.544865
80,45,0.448005,0.219321,0.395540,0.773271
80,50,0.388966,0.139029,0.334308,0.773131
80,55,0.419352,0.135648,0.340313,0.438147
80,60,0.504467,0.172666,0.397156,0.190550
80,65,0.500086,0.166746,0.392980,0.368455
80,70,0.376924,0.134708,0.284368,0.553028
80,75,0.194256,0.127710,0.155346,0.311736
85,20,0.338954,0.124841,0.249528,0.263353
85,25,0.491668,0.143602,0.357021,0.414641
85,30,0.516421,0.180354,0.396219,0.742142
85,35,0.515974,0.401735,0.552225,0.728018
85,40,0.534603,0.534788,0.641751,0.455797
85,45,0.497609,0.383982,0.525393,0.575701
85,50,0.466114,0.211963,0.396474,0.547501
85,55,0.519474,0.133748,0.357950,0.302105
85,60,0.580255,0.161363,0.403318,0.162078
85,65,0.564895,0.158374,0.392020,0.296723
85,70,0.453446,0.134750,0.320362,0.608174
85,75,0.241095,0.128222,0.188453,0.434259
90,20,0.318994,0.129517,0.227757,0.204535
90,25,0.530290,0.147106,0.367893,0.407572
90,30,0.532132,0.155029,0.385708,0.804075
90,35,0.513740,0.345085,0.514423,0.806754
90,40,0.547444,0.618219,0.706582,0.416919
90,45,0.537833,0.590188,0.681619,0.413545
90,50,0.542312,0.310105,0.487077,0.454951
90,55,0.603931,0.132291,0.376857,0.285481
90,60,0.660484,0.137381,0.396944,0.158222
90,65,0.623054,0.161918,0.395331,0.238704
90,70,0.486575,0.167321,0.352573,0.581246
90,75,0.272542,0.147433,0.223150,0.479874
95,10,0.183701,0.130058,0.145355,0.136473
95,15,0.278830,0.128828,0.194973,0.184704
95,20,0.473252,0.127806,0.302646,0.256912
95,25,0.607876,0.135372,0.379708,0.341107
95,30,0.564110,0.134415,0.376847,0.751282
95,35,0.513985,0.292142,0.477991,0.882655
95,40,0.544558,0.646398,0.724238,0.422081
